source	target
KEGG DNA REPLICATION	6742
KEGG PPAR SIGNALING PATHWAY	10998
KEGG PPAR SIGNALING PATHWAY	10999
KEGG PPAR SIGNALING PATHWAY	10580
KEGG PPAR SIGNALING PATHWAY	33
KEGG PPAR SIGNALING PATHWAY	1579
KEGG PPAR SIGNALING PATHWAY	34
KEGG PPAR SIGNALING PATHWAY	336
KEGG PPAR SIGNALING PATHWAY	948
KEGG PPAR SIGNALING PATHWAY	9415
KEGG PPAR SIGNALING PATHWAY	335
KEGG PPAR SIGNALING PATHWAY	1581
KEGG PPAR SIGNALING PATHWAY	376497
KEGG PPAR SIGNALING PATHWAY	6319
KEGG PPAR SIGNALING PATHWAY	1582
KEGG PPAR SIGNALING PATHWAY	7350
KEGG PPAR SIGNALING PATHWAY	1622
KEGG PPAR SIGNALING PATHWAY	10062
KEGG PPAR SIGNALING PATHWAY	23305
KEGG PPAR SIGNALING PATHWAY	4199
KEGG PPAR SIGNALING PATHWAY	4312
KEGG PPAR SIGNALING PATHWAY	2710
KEGG PPAR SIGNALING PATHWAY	2712
KEGG PPAR SIGNALING PATHWAY	116519
KEGG PPAR SIGNALING PATHWAY	6257
KEGG PPAR SIGNALING PATHWAY	6258
KEGG PPAR SIGNALING PATHWAY	5360
KEGG PPAR SIGNALING PATHWAY	5170
KEGG PPAR SIGNALING PATHWAY	6256
KEGG PPAR SIGNALING PATHWAY	3611
KEGG PPAR SIGNALING PATHWAY	345
KEGG PPAR SIGNALING PATHWAY	8309
KEGG PPAR SIGNALING PATHWAY	8310
KEGG PPAR SIGNALING PATHWAY	1593
KEGG PPAR SIGNALING PATHWAY	4973
KEGG PPAR SIGNALING PATHWAY	1376
KEGG PPAR SIGNALING PATHWAY	30
KEGG PPAR SIGNALING PATHWAY	1375
KEGG PPAR SIGNALING PATHWAY	51129
KEGG PPAR SIGNALING PATHWAY	11001
KEGG PPAR SIGNALING PATHWAY	4023
KEGG PPAR SIGNALING PATHWAY	2168
KEGG PPAR SIGNALING PATHWAY	1374
KEGG PPAR SIGNALING PATHWAY	5106
KEGG PPAR SIGNALING PATHWAY	2167
KEGG PPAR SIGNALING PATHWAY	126129
KEGG PPAR SIGNALING PATHWAY	2169
KEGG PPAR SIGNALING PATHWAY	5105
KEGG PPAR SIGNALING PATHWAY	6342
KEGG PPAR SIGNALING PATHWAY	5465
KEGG PPAR SIGNALING PATHWAY	364
KEGG PPAR SIGNALING PATHWAY	5346
KEGG PPAR SIGNALING PATHWAY	284541
KEGG PPAR SIGNALING PATHWAY	2170
KEGG PPAR SIGNALING PATHWAY	2171
KEGG PPAR SIGNALING PATHWAY	2172
KEGG PPAR SIGNALING PATHWAY	2173
KEGG PPAR SIGNALING PATHWAY	51703
KEGG PPAR SIGNALING PATHWAY	9370
KEGG PPAR SIGNALING PATHWAY	28965
KEGG PPAR SIGNALING PATHWAY	3158
KEGG PPAR SIGNALING PATHWAY	1962
